word,reading,meaning,thai_meaning
携帯,けいたい,carrying something; mobile telephone,ถือบางสิ่งบางอย่าง; โทรศัพท์มือถือ
形態,けいたい,"form, shape, figure",รูปร่าง รูปร่าง
後悔,こうかい,"regret, repentance",เสียใจ กลับใจ
航海,こうかい,"sail, voyage",แล่นเรือการเดินทาง
荒廃,こうはい,ruin,ทำลาย
攻める,せめる,"to attack, to assault",เพื่อโจมตีเพื่อโจมตี
責める,せめる,"to condemn, to blame, to criticize","ประณาม, ตำหนิ, วิพากษ์วิจารณ์"
洗剤,せんざい,detergent,ผงซักฟอก
全体,ぜんたい,"whole, entirety, whatever (is the matter)","ทั้งหมด, ทั้งหมด, อะไรก็ตาม (เป็นเรื่อง)"
注ぐ,そそぐ,to pour (into),เท (เข้า)
育つ,そだつ,"to be brought up, to grow (up)",ถูกเลี้ยงดูให้เติบโต (ขึ้น)
備える,そなえる,"to prepare, to furnish, to store","เพื่อจัดเตรียม, จัดเตรียม, จัดเก็บ"
具える,そなえる,to be furnished with,ที่จะตกแต่งด้วย
揃う,そろう,"to become complete, to be equal",ที่จะสมบูรณ์ให้เท่ากัน
揃える,そろえる,"to put things in order, to arrange",เพื่อจัดของให้เป็นระเบียบ
損害,そんがい,"damage, loss",ความเสียหายการสูญเสีย
尊敬,そんけい,"respect, reverence, honor","เคารพ, เคารพ, ให้เกียรติ"
存在,そんざい,"existence, being",การดำรงอยู่การเป็น
対,たい,"pair, couple, set","คู่, คู่, ชุด"
大,だい,"big, great",ใหญ่โต
題,だい,"title, subject, theme",ชื่อเรื่อง หัวเรื่อง ธีม
大会,たいかい,"convention, (big) tournament, mass meeting","การประชุม, การแข่งขัน (ใหญ่), การประชุมมวลชน"
滞在,たいざい,"stay, sojourn","อยู่, พักแรม"
対する,たいする,"to face, to confront, to oppose","เผชิญหน้า, เผชิญหน้า, ต่อต้าน"
題名,だいめい,title,หัวเรื่อง
倒す,たおす,"to throw down, to beat",ที่จะขว้างเพื่อเอาชนะ
互い,たがい,"mutual, each other",ซึ่งกันและกัน
高める,たかめる,"to raise, to lift, to boost","ยก, ยก, เสริม"
炊く,たく,"to boil, to cook","ต้ม, ทำอาหาร"
焚く,たく,"to burn, to kindle, to build a fire","เผา, จุดไฟ, ก่อไฟ"
確かめる,たしかめる,"to ascertain, to make sure",เพื่อให้แน่ใจเพื่อให้แน่ใจว่า
助かる,たすかる,to be saved; (something) helps (v.i.),ที่จะได้รับการบันทึก; (บางสิ่ง) ช่วย (vi.)
助ける,たすける,"to help (v.t.), to save, to rescue",ช่วยเหลือ (v.t.) ช่วยชีวิต
戦い,たたかい,"battle, fight",สู้ สู้
戦う,たたかう,"to fight, to compete, to battle",สู้ สู้ สู้
叩く,たたく,"to strike, to beat",ที่จะตีเพื่อเอาชนะ
畳む,たたむ,to fold (clothes),พับ (เสื้อผ้า)
立ち上がる,たちあがる,to stand up,ที่จะยืนขึ้น
建つ,たつ,"to stand; to be built (v.i.), to erect, to be erected",ยืน; ถูกสร้างขึ้น (vi.) สร้างขึ้น สร้างขึ้น
達する,たっする,"to reach, to get to","ไปถึง, ไปถึง"
騙す,だます,"to trick, to cheat, to deceive","หลอกลวง, โกง, หลอกลวง"
たまらない,たまらない,"intolerable, unbearable, unendurable","ทนไม่ได้, ทนไม่ได้, ทนไม่ได้"
溜まる,たまる,"to collect, to gather, to accumulate","รวบรวม, รวบรวม, สะสม"
黙る,だまる,to be silent,ที่จะเงียบ
試す,ためす,"to attempt, to test",พยายามทดสอบ
溜める,ためる,"to accumulate, to collect","สะสม, รวบรวม"
頼る,たよる,"to rely on, to have recourse to, to depend on","พึ่งพา, พึ่งพา, พึ่งพา"
単位,たんい,"credit (for a course in school); unit, denomination",เครดิต (สำหรับหลักสูตรในโรงเรียน); หน่วย นิกาย
団体,だんたい,"organization, association",องค์กรสมาคม
地位,ちい,"(social) position, status",(โซเชียล) ตำแหน่ง สถานะ
違い,ちがい,"difference, discrepancy",ความแตกต่างความคลาดเคลื่อน
違いない,ちがいない,"(phrase) sure, no mistaking it, for certain",(วลี) แน่นอน ไม่ผิด แน่นอน
ちょうだい,ちょうだい,-- colloquial form of ください; typically used by children or women --,-- รูปภาษาพูดของ ください; โดยทั่วไปแล้วจะใช้โดยเด็กหรือผู้หญิง --
散らす,ちらす,"to scatter, to disperse, to distribute","กระจาย, กระจาย, กระจาย"
散る,ちる,"to fall, to scatter (e.g., blossoms)","ร่วงหล่น, กระจาย (เช่น ดอกไม้บาน)"
通じる,つうじる,"to run to, to lead to, to communicate",วิ่งไป นำไปสู่ ​​สื่อสาร
捕まる,つかまる,to be arrested; to be caught,ที่จะถูกจับกุม; ที่จะถูกจับได้
掴む,つかむ,"to seize, to catch, to grasp","เพื่อยึด, จับ, คว้า"
付き合い,つきあい,socialization; friendship; association,การขัดเกลาทางสังคม; มิตรภาพ; สมาคม
付合う,つきあう,"to associate with, to keep company with, to get on with","คบหา, คบหาสมาคม, สานต่อ"
付く,つく,"to adjoin, to be attached, to adhere","แนบ, แนบ, ยึดถือ"
就く,つく,"to settle in (place), to take (seat position), to study (under teacher)","ตั้งถิ่นฐาน (ที่), นั่ง (ตำแหน่งที่นั่ง), ศึกษา (ใต้ครูบาอาจารย์)"
突く,つく,"to thrust, to strike; to poke","แทง, โจมตี; เพื่อกระตุ้น"
次ぐ,つぐ,"to rank next to, to come after",จะอยู่อันดับถัดไป ตามมา
付ける,つける,"to attach, to join, to add","แนบ, เข้าร่วม, เพิ่ม"
着ける,つける,"to put on, to wear; to draw up","สวมใส่, สวมใส่; เพื่อวาด"
伝わる,つたわる,"to be handed down, to be transmitted","ที่จะถ่ายทอด, จะถูกส่งต่อ"
繋がる,つながる,"to be connected to, to be related to","ที่จะเชื่อมต่อ, เกี่ยวข้องกับ"
繋ぐ,つなぐ,"to tie, to fasten, to connect","ผูก, ยึด, เชื่อม"
繋げる,つなげる,to connect,เพื่อเชื่อมต่อ
積む,つむ,"to pile up, to stack",กองซ้อนกัน
詰める,つめる,"to pack, to shorten, to work out (details)","แพ็ค, ย่อ, ออกกำลังกาย (รายละเอียด)"
積もる,つもる,to pile up,กองพะเนิน
出会い,であい,"meeting, rendezvous, encounter",การพบปะ การพบปะ การพบปะ
出合い,であい,an encounter,การเผชิญหน้า
出会う,であう,"to meet by chance, to come across, to happen to encounter",บังเอิญเจอ บังเอิญเจอ
適する,てきする,"to fit, to suit",เพื่อให้เหมาะสม เพื่อให้เหมาะสม
手伝い,てつだい,"help, helper, assistant","ช่วยเหลือ, ผู้ช่วย, ผู้ช่วย"
徹底,てってい,"thoroughness, completeness",ความครบถ้วนสมบูรณ์
典型,てんけい,"type, pattern, archetypal",ประเภท รูปแบบ ต้นแบบ
問い,とい,"question, query","คำถาม, คำถาม"
通す,とおす,"to let pass, to overlook, to continue",ปล่อยให้ผ่านไปมองข้ามไปต่อ
通り過ぎる,とおりすぎる,"to pass, to pass through","ผ่านไป, ผ่านไป"
都会,とかい,city,เมือง
溶く,とく,to dissolve (paint),ที่จะละลาย (ทาสี)
解く,とく,"to unfasten; answer, solve",เพื่อปลด; ตอบแก้
退く,どく,"to retreat, to recede, to withdraw","ถอย,ถอย,ถอนตัว"
得意,とくい,"pride, triumph, prosperity",ความภาคภูมิใจชัยชนะความเจริญรุ่งเรือง
溶ける,とける,"to melt, to thaw, to dissolve","ละลาย, ละลาย, ละลาย"
解ける,とける,"to come untied, to come apart",มาแก้ให้แยกจากกัน
閉じる,とじる,"to close (e.g., book, eyes), to shut",ปิด (เช่น หนังสือ ตา) ปิด
届く,とどく,to reach,ไปถึง
飛ばす,とばす,"to skip over, to omit","ข้าม, ละเว้น"
飛び出す,とびだす,"to jump out, to rush out, to fly out","กระโดดออกไป, วิ่งออกไป, บินออกไป"
留める,とめる,"to fasten, to turn off, to detain","ยึด, ปิด, กักขัง"
泊める,とめる,to have someone stay (over night) (v.t.),มีคนอยู่ (v.t.)
取り上げる,とりあげる,"to take up, to pick up; to confiscate",หยิบขึ้นมาหยิบ; เพื่อยึด
取れる,とれる,"to come off, to be taken off","ที่จะหลุดออกไป, จะถูกถอดออก"
とんでもない,とんでもない,"outrageous, No way!",อุกอาจ ไม่มีทาง!
流す,ながす,"to drain, to float, to shed (e.g., blood, tears)","ระบาย, ลอย, หลั่งน้ำตา (เช่น เลือด, น้ำตา)"
眺める,ながめる,"to view, to gaze at",เพื่อดูเพื่อจ้องมอง
流れる,ながれる,"to flow, to be washed away",ไหลไปถูกชะล้าง
亡くす,なくす,to lose someone,ที่จะสูญเสียใครสักคน
殴る,なぐる,to strike; to hit; to punch,ที่จะตี; ตี; ต่อย
怠ける,なまける,"to be idle, to neglect",ที่จะไม่ได้ใช้งานที่จะละเลย
悩む,なやむ,"to agonize, to be troubled",ทนทุกข์ทรมาน
鳴らす,ならす,"to ring, to sound",ดังขึ้นเพื่อส่งเสียง
生る,なる,to bear fruit,ที่จะเกิดผล
馴れる,なれる,"to become domesticated, to become tame",กลายเป็นบ้าน กลายเป็นเชื่อง
似合う,にあう,"to suit (a person), to match (clothing), (something) becomes (someone)",เพื่อให้เหมาะกับ (บุคคล) ให้เข้ากัน (เสื้อผ้า) (บางสิ่ง) กลายเป็น (ใครบางคน)
煮える,にえる,"to boil, to cook, to be cooked","ต้ม, ปรุง, ปรุง"
握る,にぎる,"to grasp, to seize, to mold sushi","จับ, จับ, ปั้นซูชิ"
煮る,にる,"to boil, to cook","ต้ม, ทำอาหาร"
抜く,ぬく,"to extract, to omit, to unplug","เพื่อแยก, ละเว้น, เพื่อถอดปลั๊ก"
抜ける,ぬける,"to come out, to fall out, to be omitted","ออกมา, หลุดออกไป, ละเว้น"
濡らす,ぬらす,"to wet, to soak","เปียก, แช่"
願い,ねがい,"desire, wish, request",ความปรารถนา ความปรารถนา คำขอ
願う,ねがう,"to desire, to wish, to request","ปรารถนา, ปรารถนา, ร้องขอ"
熱帯,ねったい,tropics,เขตร้อน
年代,ねんだい,"age, era, period",อายุ ยุคสมัย
年齢,ねんれい,"age, years","อายุ, ปี"
残す,のこす,"to leave (behind, over), to save, to reserve","ออกไป (ข้างหลัง, เหนือ), บันทึก, จอง"
乗せる,のせる,"to place on (something), to take on board",วางบน (บางสิ่ง) เพื่อขึ้นเครื่อง
載せる,のせる,to place on (something); to publish,วาง (บางสิ่ง); เพื่อเผยแพร่
覗く,のぞく,"to peek in, to look in",เพื่อดูเข้าไปดูใน
除く,のぞく,"to remove, to exclude, to except","เพื่อลบ, ยกเว้น, ยกเว้น"
望む,のぞむ,"to desire, to wish for; to view","ปรารถนา, ปรารถนา; เพื่อดู"
伸ばす,のばす,"to extend, to stretch, to reach out","ขยาย, ยืด, เอื้อมมือ"
延ばす,のばす,"to extend, to stretch, to reach out","ขยาย, ยืด, เอื้อมมือ"
伸びる,のびる,"to extend, to make progress, to grow","ขยาย, ก้าวหน้า, เติบโต"
延びる,のびる,to be prolonged,ที่จะยืดเยื้อ
述べる,のべる,"to state, to express, to mention","กล่าว, แสดง, กล่าวถึง"
上る,のぼる,"to ascend, to go up, to climb","ขึ้นไป, ขึ้นไป, ปีน"
昇る,のぼる,"to arise, to ascend, to go up",ลุกขึ้น ขึ้น ขึ้น
載る,のる,"to appear (in print), to be recorded",ปรากฏ (ในการพิมพ์) ที่จะบันทึก
灰,はい,ash,เถ้า
生える,はえる,"to grow, to spring up; to cut (teeth)",เติบโตขึ้น ผุดขึ้นมา; ตัด (ฟัน)
計る,はかる,"to measure, to weigh, to survey","วัด, ชั่งน้ำหนัก, สำรวจ"
量る,はかる,"to measure, to weigh, to survey","วัด, ชั่งน้ำหนัก, สำรวจ"
測る,はかる,"to measure, to weigh, to survey","วัด, ชั่งน้ำหนัก, สำรวจ"
掃く,はく,"to sweep, to brush, to gather up","กวาด, แปรง, รวบรวม"
吐く,はく,"to throw up, to vomit",อาเจียน
莫大,ばくだい,"enormous, vast","มหาศาล, กว้างใหญ่"
激しい,はげしい,"violent, vehement, intense","รุนแรง, ฉุนเฉียว, รุนแรง"
外す,はずす,"to unfasten, to remove",เพื่อปลดออกเพื่อลบ
外れる,はずれる,"to be disconnected, to be out (e.g., of gear)",ถูกตัดการเชื่อมต่อ ออกไป (เช่น เกียร์)
罰する,ばっする,"to punish, to penalize","ลงโทษ, ลงโทษ"
発明,はつめい,invention,สิ่งประดิษฐ์
話し合う,はなしあう,"to discuss, to talk together",เพื่อหารือเพื่อพูดคุยกัน
離す,はなす,"to part, to separate",แยกจากกัน
放す,はなす,"to separate, to set free",เพื่อแยกออกเพื่อปลดปล่อย
放れる,はなれる,"to leave, to get free, to cut oneself off","ออกไป, เป็นอิสระ, ตัดตัวเองออก"
省く,はぶく,"to omit, to eliminate",ละเว้นเพื่อกำจัด
流行る,はやる,"to be popular, to come into fashion","ให้ปัง, กลายเป็นแฟชั่น"
範囲,はんい,"extent, scope, range","ขอบเขต, ขอบเขต, ช่วง"
犯罪,はんざい,crime,อาชญากรรม
反省,はんせい,"reflection, reconsideration, regret",ทบทวน ทบทวน เสียใจ
販売,はんばい,"sale, selling, marketing",การขาย การขาย การตลาด
被害,ひがい,damage,ความเสียหาย
額,ひたい,"forehead, brow","หน้าผาก, คิ้ว"
引っ張る,ひっぱる,"to pull, to stretch, to drag","ดึง, ยืด, ลาก"
否定,ひてい,"negation, denial",การปฏิเสธการปฏิเสธ
等しい,ひとしい,equal,เท่ากับ
冷やす,ひやす,"to cool, to refrigerate","ให้เย็น, แช่เย็น"
広がる,ひろがる,"to spread (out), to extend, to stretch, to reach to, to get around",แผ่ (ออก) ขยาย ยืด เอื้อม ไปไหนมาไหน
広げる,ひろげる,"to spread, to extend, to expand, to enlarge","ขยาย, ขยาย, ขยาย, ขยาย"
広める,ひろめる,"to broaden, to propagate","เพื่อขยาย, เพื่อเผยแพร่"
風景,ふうけい,scenery,ทิวทัศน์
深まる,ふかまる,to deepen,ให้ลึกซึ้งยิ่งขึ้น
拭く,ふく,"to wipe, to dry",เช็ดให้แห้ง
含む,ふくむ,"to contain, to include",ที่จะบรรจุเพื่อรวม
含める,ふくめる,to include,เพื่อรวม
不正,ふせい,"injustice, unfairness",ความอยุติธรรมความไม่ยุติธรรม
防ぐ,ふせぐ,"to defend (against), to protect, to prevent",เพื่อป้องกัน (ต่อต้าน) เพื่อปกป้องเพื่อป้องกัน
舞台,ぶたい,stage (theater),เวที (โรงละคร)
ぶつかる,ぶつかる,"to strike, to collide with",ที่จะโจมตีเพื่อชนกับ
ぶつける,ぶつける,"to knock, to strike hard, to hit and attack","เคาะ, ตีอย่างแรง, ตีและโจมตี"
不平,ふへい,"complaint, discontent, dissatisfaction",การร้องเรียน ความไม่พอใจ ความไม่พอใจ
増やす,ふやす,"to increase (v.t.), to add to",เพิ่ม (v.t.) เพิ่มให้กับ
殖やす,ふやす,"to increase, to add to",เพื่อเพิ่มเพื่อเพิ่ม
振る,ふる,"to wave, to shake; to sprinkle; to cast (actor)","โบกมือ, เขย่า; โรย; ที่จะคัดเลือก (นักแสดง)"
震える,ふるえる,"to shiver, to shake, to quake",สั่น สั่น สั่น
触れる,ふれる,"to touch, to feel, to violate","สัมผัส, รู้สึก, ฝ่าฝืน"
文明,ぶんめい,civilization,อารยธรรม
塀,へい,"wall, fence",ผนัง รั้ว
減らす,へらす,"to decrease, to diminish","ลดลง, ลดลง"
減る,へる,"to decrease (in size or number), to diminish",เพื่อลด (ขนาดหรือจำนวน) เพื่อลด
吠える,ほえる,"to bark, to howl",เห่าหอน
微笑む,ほほえむ,to smile,ยิ้ม
任せる,まかせる,"to entrust to another, to leave to",ที่จะมอบหมายให้คนอื่นออกไป
巻く,まく,"to wind, to coil, to roll","ม้วน, ม้วน, ม้วน"
蒔く,まく,to sow (seeds),หว่าน (เมล็ดพืช)
撒く,まく,"to scatter, to sprinkle, to sow","โปรย, โปรย, หว่าน"
混ざる,まざる,"to be mixed, to mingle with","ที่จะผสม, คลุกเคล้ากับ"
交ざる,まざる,"to be mixed, to mingle with","ที่จะผสม, คลุกเคล้ากับ"
混じる,まじる,"to be mixed, to mingle with","ที่จะผสม, คลุกเคล้ากับ"
交じる,まじる,"to be mixed, to mingle with","ที่จะผสม, คลุกเคล้ากับ"
増す,ます,"to increase, to gain","เพื่อเพิ่ม, เพื่อให้ได้"
貧しい,まずしい,"poor, needy",ยากจนขัดสน
混ぜる,まぜる,"to mix, to stir","ผสม, ผัด"
交ぜる,まぜる,"to be mixed, to be blended with",ที่จะผสมจะผสมกับ
間違い,まちがい,mistake,ความผิดพลาด
まとまる,まとまる,"to be collected, to be settled, to be in order","จะถูกรวบรวม, ถูกตัดสิน, เป็นระเบียบ"
まとめる,まとめる,"to put in order, to collect, to bring to a conclusion","เพื่อรวบรวม, เพื่อสรุป"
学ぶ,まなぶ,to learn; to study,เรียนรู้; เพื่อศึกษา
招く,まねく,to invite,เพื่อเชิญ
まぶしい,まぶしい,"dazzling, radiant",แวววาว เปล่งประกาย
裂ける,さける,"to split, to tear, to burst","แตก, ฉีก, แตก"
裁く,さばく,to judge,เพื่อตัดสิน
字体,じたい,"font, lettering",แบบอักษร ตัวอักษร
辞退,じたい,refusal,ปฏิเสธ
生涯,しょうがい,one's lifetime,ตลอดชีวิต
正体,しょうたい,"natural shape, one's true colors, true character",รูปร่างที่เป็นธรรมชาติ สีสันที่แท้จริง ลักษณะนิสัยที่แท้จริง
照明,しょうめい,illumination,ไฟส่องสว่าง
擦る,する,"to rub, to chafe","ถู, เสียดสี"
声明,せいめい,"declaration, statement, proclamation",คำประกาศ คำแถลง คำประกาศ
姓名,せいめい,full name,ชื่อเต็ม
沿う,そう,"to run along, to follow",วิ่งตาม
添う,そう,"to accompany, to comply with",ที่จะติดตามเพื่อให้สอดคล้องกับ
隊,たい,"party, troops",ปาร์ตี้ กองทัพ
高まる,たかまる,to rise; to grow; to mount (v.i.),เพิ่มขึ้น; ที่จะเติบโต; เพื่อเมานต์ (vi.)
断つ,たつ,"to sever, to cut off",ตัดเพื่อตัด
接ぐ,つぐ,to join; to piece together; to set (bones); to graft (trees),เข้าร่วม; ปะติดปะต่อ; ตั้ง (กระดูก); การต่อกิ่ง (ต้นไม้)
継ぐ,つぐ,to succeed (someone in a business or inheritance,ที่จะประสบความสำเร็จ (คนในธุรกิจหรือมรดก
摘む,つむ,"to pluck, to pick, to trim","ถอน, หยิบ, เล็ม"
強まる,つよまる,"to get strong, to gain strength",เข้มแข็งขึ้น เข้มแข็งขึ้น
強める,つよめる,"to strengthen, to emphasize","เพื่อเสริมสร้าง, เพื่อเน้น"
問う,とう,"to ask, to question","ถาม, ถาม"
説く,とく,"to explain, to advocate",เพื่ออธิบายเพื่อสนับสนุน
綴じる,とじる,"to bind, to file","เพื่อผูก, เพื่อไฟล์"
慣らす,ならす,to accustom,คุ้นเคย
馴らす,ならす,"to domesticate, to tame",เลี้ยงให้เชื่อง
臨む,のぞむ,"to look out on, to face, to attend (function)","เฝ้ามอง, เผชิญหน้า, เข้าร่วม (หน้าที่)"
肺,はい,lung,ปอด
映える,はえる,"to shine, to look attractive, to look pretty",ให้เปล่งประกาย ดูมีเสน่ห์ ดูสวย
諮る,はかる,"to consult with, to confer",ปรึกษาหารือ
図る,はかる,"to plot, to attempt, to devise, to design, to refer A to B","วางแผน, พยายาม, ประดิษฐ์, ออกแบบ, อ้างอิง A ถึง B"
生やす,はやす,"to grow, to cultivate, to wear beard",เติบโต เพาะปลูก ไว้เครา
広まる,ひろまる,"to spread, to be propagated","ที่จะแพร่กระจาย, ที่จะแพร่กระจาย"
深める,ふかめる,"to deepen, to heighten, to intensify","ทำให้ลึกขึ้น, ทำให้สูงขึ้น, ทำให้เข้มข้นขึ้น"
経る,へる,"to pass, to elapse, to experience",ผ่านพ้นไปสัมผัส
見掛ける,みかける,"to (happen to see), to notice, to catch sight of",ถึง (บังเอิญเห็น) สังเกตเห็น มองเห็น
捲る,めくる,"to turn over, to turn pages of a book",พลิกกลับพลิกหน้าหนังสือ
良い,よい,"good, nice",ดีดี
弱まる,よわまる,"to weaken, to be emaciated, to be dejected","ทำให้อ่อนแรง, ผอมแห้ง, หดหู่"
弱める,よわめる,to weaken,เพื่อทำให้อ่อนลง
